cbsa,city_name,date,venturedensity,highlyactiveventuredensity,prosperity11,prosperity19,recovery,medinc16,medinc17,medinc18,medinc19,change_medinc_1619,pct_black,pct_hisp,pct_native,pct_asian,pct_pacific,pct_white
10420,"Akron, OH",2020q1,4.1855421,.9819294810295105,57.15498979616974,55.579983,-1.5750071,51749,53418,55718,57285,5536,11.978206,2.073894,.1642407,3.0296443,.013213136,79.885628
10420,"Akron, OH",2019q2,4.1574292,.9173795580863953,57.15498979616974,55.579983,-1.5750071,51749,53418,55718,57285,5536,11.978206,2.073894,.1642407,3.0296443,.013213136,79.885628
10420,"Akron, OH",2020q2,4.2320781,.9563755989074707,57.15498979616974,55.579983,-1.5750071,51749,53418,55718,57285,5536,11.978206,2.073894,.1642407,3.0296443,.013213136,79.885628
10420,"Akron, OH",2019q3,4.1742659,.9479827284812927,57.15498979616974,55.579983,-1.5750071,51749,53418,55718,57285,5536,11.978206,2.073894,.1642407,3.0296443,.013213136,79.885628
10420,"Akron, OH",2020q3,4.2377758,.9129101634025574,57.15498979616974,55.579983,-1.5750071,51749,53418,55718,57285,5536,11.978206,2.073894,.1642407,3.0296443,.013213136,79.885628
10420,"Akron, OH",2018q4,4.072329,.8912797960453294,57.15498979616974,55.579983,-1.5750071,51749,53418,55718,57285,5536,11.978206,2.073894,.1642407,3.0296443,.013213136,79.885628
10420,"Akron, OH",2019q4,4.1858149,1.434563398361206,57.15498979616974,55.579983,-1.5750071,51749,53418,55718,57285,5536,11.978206,2.073894,.1642407,3.0296443,.013213136,79.885628
10420,"Akron, OH",2020q4,4.2350097,.7906323671340942,57.15498979616974,55.579983,-1.5750071,51749,53418,55718,57285,5536,11.978206,2.073894,.1642407,3.0296443,.013213136,79.885628
10460,"Alamogordo, NM",2019q1,2.3538132,.5840420722961426,41.38576016426087,41.478539,.092778347,41502,43533,42752,41988,486,3.2251236,38.276608,6.0707321,1.2489227,.14666526,48.859188
10460,"Alamogordo, NM",2020q1,2.1403112,.5975697040557861,41.38576016426087,41.478539,.092778347,41502,43533,42752,41988,486,3.2251236,38.276608,6.0707321,1.2489227,.14666526,48.859188
10460,"Alamogordo, NM",2019q2,2.3608711,.6352119445800781,41.38576016426087,41.478539,.092778347,41502,43533,42752,41988,486,3.2251236,38.276608,6.0707321,1.2489227,.14666526,48.859188
10460,"Alamogordo, NM",2020q2,2.1014929,.5758078098297119,41.38576016426087,41.478539,.092778347,41502,43533,42752,41988,486,3.2251236,38.276608,6.0707321,1.2489227,.14666526,48.859188
10460,"Alamogordo, NM",2019q3,2.3185234,.6131559610366821,41.38576016426087,41.478539,.092778347,41502,43533,42752,41988,486,3.2251236,38.276608,6.0707321,1.2489227,.14666526,48.859188
10460,"Alamogordo, NM",2020q3,2.0920823,.5293432474136353,41.38576016426087,41.478539,.092778347,41502,43533,42752,41988,486,3.2251236,38.276608,6.0707321,1.2489227,.14666526,48.859188
10460,"Alamogordo, NM",2018q4,2.559763,.568161746737481,41.38576016426087,41.478539,.092778347,41502,43533,42752,41988,486,3.2251236,38.276608,6.0707321,1.2489227,.14666526,48.859188
10460,"Alamogordo, NM",2019q4,2.3114657,.8972368240356445,41.38576016426087,41.478539,.092778347,41502,43533,42752,41988,486,3.2251236,38.276608,6.0707321,1.2489227,.14666526,48.859188
10460,"Alamogordo, NM",2020q4,2.0338545,.441119372844696,41.38576016426087,41.478539,.092778347,41502,43533,42752,41988,486,3.2251236,38.276608,6.0707321,1.2489227,.14666526,48.859188
